student_id,data,points
3,es_1_1_2points,2
3,es_1_2_3points,3
3,es_2_1_2points,1
3,es_2_2_3points,2
3,es_3_1_1point,1
3,es_3_2_2points,2
3,es_3_3_2points,2
3,es_3_4_2points,2
3,es_3_5_3points,3
3,es_4_1_15points,15
3,es_4_2_10points,10
3,es_5_1_2points,1
3,es_5_2_10points,5
3,es_5_3_3points,3
3,es_6_1_25points,18
3,es_6_2_15points,15
3,total,85
6,es_1_1_2points,2
6,es_1_2_3points,3
6,es_2_1_2points,2
6,es_2_2_3points,3
6,es_3_1_1point,1
6,es_3_2_2points,2
6,es_3_3_2points,2
6,es_3_4_2points,0
6,es_3_5_3points,3
6,es_4_1_15points,15
6,es_4_2_10points,7
6,es_5_1_2points,2
6,es_5_2_10points,9
6,es_5_3_3points,3
6,es_6_1_25points,13
6,es_6_2_15points,15
6,total,82
7,es_1_1_2points,2
7,es_1_2_3points,3
7,es_2_1_2points,1
7,es_2_2_3points,1.5
7,es_3_1_1point,1
7,es_3_2_2points,2
7,es_3_3_2points,0
7,es_3_4_2points,0
7,es_3_5_3points,3
7,es_4_1_15points,5
7,es_4_2_10points,4
7,es_5_1_2points,0
7,es_5_2_10points,0
7,es_5_3_3points,3
7,es_6_1_25points,17
7,es_6_2_15points,10
7,total,52.5
10,es_1_1_2points,2
10,es_1_2_3points,3
10,es_2_1_2points,2
10,es_2_2_3points,1.5
10,es_3_1_1point,1
10,es_3_2_2points,2
10,es_3_3_2points,0
10,es_3_4_2points,2
10,es_3_5_3points,3
10,es_4_1_15points,11
10,es_4_2_10points,1
10,es_5_1_2points,2
10,es_5_2_10points,10
10,es_5_3_3points,1.5
10,es_6_1_25points,7
10,es_6_2_15points,10
10,total,59
13,es_1_1_2points,2
13,es_1_2_3points,3
13,es_2_1_2points,2
13,es_2_2_3points,1.5
13,es_3_1_1point,1
13,es_3_2_2points,2
13,es_3_3_2points,2
13,es_3_4_2points,2
13,es_3_5_3points,3
13,es_4_1_15points,14.5
13,es_4_2_10points,10
13,es_5_1_2points,2
13,es_5_2_10points,2
13,es_5_3_3points,3
13,es_6_1_25points,25
13,es_6_2_15points,15
13,total,90
15,es_1_1_2points,2
15,es_1_2_3points,3
15,es_2_1_2points,1
15,es_2_2_3points,2
15,es_3_1_1point,1
15,es_3_2_2points,2
15,es_3_3_2points,2
15,es_3_4_2points,2
15,es_3_5_3points,3
15,es_4_1_15points,15
15,es_4_2_10points,10
15,es_5_1_2points,2
15,es_5_2_10points,4
15,es_5_3_3points,1.5
15,es_6_1_25points,2
15,es_6_2_15points,15
15,total,67.5
16,es_1_1_2points,2
16,es_1_2_3points,3
16,es_2_1_2points,1
16,es_2_2_3points,0
16,es_3_1_1point,1
16,es_3_2_2points,2
16,es_3_3_2points,2
16,es_3_4_2points,2
16,es_3_5_3points,3
16,es_4_1_15points,3
16,es_4_2_10points,9
16,es_5_1_2points,1
16,es_5_2_10points,0
16,es_5_3_3points,3
16,es_6_1_25points,20
16,es_6_2_15points,15
16,total,67
17,es_1_1_2points,2
17,es_1_2_3points,3
17,es_2_1_2points,1
17,es_2_2_3points,2
17,es_3_1_1point,1
17,es_3_2_2points,2
17,es_3_3_2points,2
17,es_3_4_2points,2
17,es_3_5_3points,3
17,es_4_1_15points,15
17,es_4_2_10points,10
17,es_5_1_2points,2
17,es_5_2_10points,10
17,es_5_3_3points,3
17,es_6_1_25points,24
17,es_6_2_15points,15
17,total,97
18,es_1_1_2points,1
18,es_1_2_3points,3
18,es_2_1_2points,2
18,es_2_2_3points,3
18,es_3_1_1point,1
18,es_3_2_2points,2
18,es_3_3_2points,2
18,es_3_4_2points,2
18,es_3_5_3points,3
18,es_4_1_15points,15
18,es_4_2_10points,7
18,es_5_1_2points,2
18,es_5_2_10points,2.5
18,es_5_3_3points,1.5
18,es_6_1_25points,5
18,es_6_2_15points,10
18,total,62
20,es_1_1_2points,2
20,es_1_2_3points,3
20,es_2_1_2points,2
20,es_2_2_3points,0
20,es_3_1_1point,1
20,es_3_2_2points,2
20,es_3_3_2points,2
20,es_3_4_2points,2
20,es_3_5_3points,1.5
20,es_4_1_15points,15
20,es_4_2_10points,10
20,es_5_1_2points,0
20,es_5_2_10points,0
20,es_5_3_3points,3
20,es_6_1_25points,5
20,es_6_2_15points,10
20,total,58.5
24,es_1_1_2points,2
24,es_1_2_3points,3
24,es_2_1_2points,1
24,es_2_2_3points,1.5
24,es_3_1_1point,1
24,es_3_2_2points,2
24,es_3_3_2points,2
24,es_3_4_2points,2
24,es_3_5_3points,3
24,es_4_1_15points,11
24,es_4_2_10points,1
24,es_5_1_2points,0
24,es_5_2_10points,0
24,es_5_3_3points,3
24,es_6_1_25points,0
24,es_6_2_15points,0
24,total,32.5
27,es_1_1_2points,2
27,es_1_2_3points,3
27,es_2_1_2points,1
27,es_2_2_3points,2
27,es_3_1_1point,1
27,es_3_2_2points,2
27,es_3_3_2points,0
27,es_3_4_2points,2
27,es_3_5_3points,3
27,es_4_1_15points,15
27,es_4_2_10points,9
27,es_5_1_2points,0
27,es_5_2_10points,0
27,es_5_3_3points,0
27,es_6_1_25points,24.5
27,es_6_2_15points,10
27,total,74.5
28,es_1_1_2points,2
28,es_1_2_3points,3
28,es_2_1_2points,1
28,es_2_2_3points,2
28,es_3_1_1point,1
28,es_3_2_2points,2
28,es_3_3_2points,2
28,es_3_4_2points,2
28,es_3_5_3points,0
28,es_4_1_15points,15
28,es_4_2_10points,8.5
28,es_5_1_2points,2
28,es_5_2_10points,4
28,es_5_3_3points,3
28,es_6_1_25points,19
28,es_6_2_15points,13
28,total,79.5
29,es_1_1_2points,2
29,es_1_2_3points,3
29,es_2_1_2points,2
29,es_2_2_3points,0
29,es_3_1_1point,1
29,es_3_2_2points,2
29,es_3_3_2points,2
29,es_3_4_2points,2
29,es_3_5_3points,3
29,es_4_1_15points,15
29,es_4_2_10points,10
29,es_5_1_2points,2
29,es_5_2_10points,10
29,es_5_3_3points,3
29,es_6_1_25points,25
29,es_6_2_15points,15
29,total,97
30,es_1_1_2points,0
30,es_1_2_3points,0
30,es_2_1_2points,2
30,es_2_2_3points,0
30,es_3_1_1point,0
30,es_3_2_2points,0
30,es_3_3_2points,0
30,es_3_4_2points,0
30,es_3_5_3points,0
30,es_4_1_15points,3
30,es_4_2_10points,2
30,es_5_1_2points,0
30,es_5_2_10points,0
30,es_5_3_3points,0
30,es_6_1_25points,0
30,es_6_2_15points,0
30,total,7
32,es_1_1_2points,2
32,es_1_2_3points,3
32,es_2_1_2points,2
32,es_2_2_3points,1.5
32,es_3_1_1point,1
32,es_3_2_2points,2
32,es_3_3_2points,2
32,es_3_4_2points,2
32,es_3_5_3points,3
32,es_4_1_15points,15
32,es_4_2_10points,10
32,es_5_1_2points,2
32,es_5_2_10points,10
32,es_5_3_3points,3
32,es_6_1_25points,12
32,es_6_2_15points,5
32,total,75.5
36,es_1_1_2points,2
36,es_1_2_3points,3
36,es_2_1_2points,1
36,es_2_2_3points,0
36,es_3_1_1point,1
36,es_3_2_2points,1
36,es_3_3_2points,0
36,es_3_4_2points,2
36,es_3_5_3points,3
36,es_4_1_15points,13
36,es_4_2_10points,9
36,es_5_1_2points,2
36,es_5_2_10points,10
36,es_5_3_3points,3
36,es_6_1_25points,16
36,es_6_2_15points,13
36,total,79
37,es_1_1_2points,2
37,es_1_2_3points,3
37,es_2_1_2points,1
37,es_2_2_3points,0
37,es_3_1_1point,0
37,es_3_2_2points,2
37,es_3_3_2points,0
37,es_3_4_2points,2
37,es_3_5_3points,0
37,es_4_1_15points,8
37,es_4_2_10points,1
37,es_5_1_2points,0
37,es_5_2_10points,0
37,es_5_3_3points,0
37,es_6_1_25points,0
37,es_6_2_15points,0
37,total,19
39,es_1_1_2points,2
39,es_1_2_3points,3
39,es_2_1_2points,2
39,es_2_2_3points,0
39,es_3_1_1point,0
39,es_3_2_2points,0
39,es_3_3_2points,0
39,es_3_4_2points,2
39,es_3_5_3points,0
39,es_4_1_15points,3
39,es_4_2_10points,4
39,es_5_1_2points,0
39,es_5_2_10points,0
39,es_5_3_3points,0
39,es_6_1_25points,10
39,es_6_2_15points,15
39,total,41
41,es_1_1_2points,2
41,es_1_2_3points,3
41,es_2_1_2points,2
41,es_2_2_3points,3
41,es_3_1_1point,1
41,es_3_2_2points,2
41,es_3_3_2points,2
41,es_3_4_2points,2
41,es_3_5_3points,3
41,es_4_1_15points,13
41,es_4_2_10points,10
41,es_5_1_2points,2
41,es_5_2_10points,10
41,es_5_3_3points,3
41,es_6_1_25points,25
41,es_6_2_15points,15
41,total,98
44,es_1_1_2points,2
44,es_1_2_3points,3
44,es_2_1_2points,1
44,es_2_2_3points,2
44,es_3_1_1point,1
44,es_3_2_2points,2
44,es_3_3_2points,2
44,es_3_4_2points,2
44,es_3_5_3points,3
44,es_4_1_15points,3
44,es_4_2_10points,7
44,es_5_1_2points,0
44,es_5_2_10points,5
44,es_5_3_3points,3
44,es_6_1_25points,4
44,es_6_2_15points,10
44,total,50
46,es_1_1_2points,2
