,student_id,session,idle_time,mouse_wheel,mouse_wheel_click,left_click,right_click,mouse_movement,keystroke,time_delta,es_1_1_2points,es_1_2_3points,es_2_1_2points,es_2_2_3points,es_3_1_1point,es_3_2_2points,es_3_3_2points,es_3_4_2points,es_3_5_3points,es_4_1_15points,es_4_2_10points,es_5_1_2points,es_5_2_10points,es_5_3_3points,es_6_1_25points,es_6_2_15points,total
0,1,17,329361,22,0,115,16,7378,6,128.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,25.0,13.0,94.5
1,2,13,4087,0,0,5,0,106,0,4.0,2.0,3.0,2.0,0.5,1.0,2.0,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,5.0,0.0,44.0
2,3,10,0,0,0,8,0,80,0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,1.0,5.0,3.0,18.0,15.0,85.0
3,4,31,5308,0,0,27,0,592,0,21.0,2.0,3.0,1.0,0.5,1.0,2.0,0.0,2.0,0.0,3.0,4.0,0.0,1.5,0.0,5.0,5.0,30.0
4,5,22,541956,0,0,35,0,5384,0,91.0,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.5,9.0,1.5,2.0,1.0,38.5
5,6,119,6559,0,0,79,0,3726,0,28.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,0.0,3.0,15.0,7.0,2.0,9.0,3.0,13.0,15.0,82.0
6,7,6,313,0,0,6,0,282,0,6.0,2.0,3.0,1.0,1.5,1.0,2.0,0.0,0.0,3.0,5.0,4.0,0.0,0.0,3.0,17.0,10.0,52.5
7,7,6,313,0,0,6,0,282,0,6.0,2.0,3.0,1.0,1.5,1.0,2.0,2.0,2.0,3.0,15.0,10.0,1.0,2.5,0.0,20.0,12.0,78.0
8,8,7,0,0,0,0,0,151,0,0.0,0.5,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
9,9,6,62,0,0,4,0,149,0,2.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5
10,10,11,1233920,0,0,112,0,4534,0,106.0,2.0,3.0,2.0,1.5,1.0,2.0,0.0,2.0,3.0,11.0,1.0,2.0,10.0,1.5,7.0,10.0,59.0
11,11,11,52150,21,0,18,0,3285,0,47.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,2.0,3.0,12.0,3.0,2.0,8.0,1.5,12.0,5.0,60.0
12,12,101,31714,0,0,89,0,2401,0,83.0,2.0,3.0,0.5,2.0,1.0,2.0,0.0,2.0,3.0,15.0,2.0,0.5,5.5,2.0,0.0,0.0,40.5
13,13,11,107260,0,0,22,0,695,0,20.0,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,14.5,10.0,2.0,2.0,3.0,25.0,15.0,90.0
14,14,12,0,0,0,0,0,93,0,0.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,10.0,2.0,8.0,3.0,9.0,9.0,64.0
15,15,9,4427085,0,0,19,0,557,0,110.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,4.0,1.5,2.0,15.0,67.5
16,17,16,1197,0,0,3,0,193,0,17.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,24.0,15.0,97.0
17,18,9,0,0,0,0,0,89,0,0.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,15.0,7.0,2.0,2.5,1.5,5.0,10.0,62.0
18,19,40,28506988,0,0,468,74,18321,33,718.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,3.0,1.5,2.0,1.5,5.0,4.0,50.0
19,20,31,567046,0,0,71,0,3820,4,156.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,1.5,15.0,10.0,0.0,0.0,3.0,5.0,10.0,58.5
20,20,31,567046,0,0,71,0,3820,4,156.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,8.0,3.0,25.0,14.5,97.5
21,21,5,32,0,0,4,0,88,0,2.0,,,,,,,,,,,,,,,,,
22,22,58,1867,0,0,69,0,1538,0,32.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,1.5,10.0,10.0,40.0
23,23,5,0,0,0,2,0,6,0,0.0,,,,,,,,,,,,,,,,,
24,24,12,712,0,0,11,2,729,0,16.0,2.0,3.0,1.0,1.5,1.0,2.0,2.0,2.0,3.0,11.0,1.0,0.0,0.0,3.0,0.0,0.0,32.5
25,24,12,712,0,0,11,2,729,0,16.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,2.0,3.0,15.0,4.0,2.0,10.0,3.0,15.0,5.0,70.5
26,27,14,62972,0,0,18,0,403,0,17.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,2.0,3.0,15.0,9.0,0.0,0.0,0.0,24.5,10.0,74.5
27,28,17,0,0,0,0,0,211,0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,15.0,8.5,2.0,4.0,3.0,19.0,13.0,79.5
28,29,44,10994,6,0,26,0,1789,0,24.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,25.0,15.0,97.0
29,30,9,32,0,0,4,0,153,0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0
30,30,9,32,0,0,4,0,153,0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,12.0,8.0,1.0,5.0,1.5,4.0,5.0,55.5
31,31,7,2062,0,0,2,0,104,0,2.0,,,,,,,,,,,,,,,,,
32,32,19,124143,53,0,60,0,2127,0,45.0,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,12.0,5.0,75.5
33,33,24,251,0,0,17,0,517,0,7.0,2.0,3.0,2.0,1.5,1.0,0.0,0.0,2.0,3.0,3.0,3.0,1.0,7.5,1.5,0.0,0.0,30.5
34,34,21,0,0,0,0,0,182,0,0.0,2.0,3.0,2.0,0.5,1.0,2.0,1.5,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
35,35,34,3394674,0,0,8,0,467,2,104.0,,,,,,,,,,,,,,,,,
