,student_id,Session_1,Session_2,Session_3,Session_4,Session_5,Session_6,Unnamed: 0,es_1_1_2points,es_1_2_3points,es_2_1_2points,es_2_2_3points,es_3_1_1point,es_3_2_2points,es_3_3_2points,es_3_4_2points,es_3_5_3points,es_4_1_15points,es_4_2_10points,es_5_1_2points,es_5_2_10points,es_5_3_3points,es_6_1_25points,es_6_2_15points,total
0,1,1,1,0,1,1,1,0.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,25.0,13.0,94.5
1,2,1,1,1,1,1,1,1.0,2.0,3.0,2.0,0.5,1.0,2.0,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,5.0,0.0,44.0
2,3,0,1,1,1,1,0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,1.0,5.0,3.0,18.0,15.0,85.0
3,4,1,1,1,1,1,1,2.0,2.0,3.0,1.0,0.5,1.0,2.0,0.0,2.0,0.0,3.0,4.0,0.0,1.5,0.0,5.0,5.0,30.0
4,5,1,1,1,1,1,1,3.0,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.5,9.0,1.5,2.0,1.0,38.5
5,6,0,1,1,1,1,1,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,0.0,3.0,15.0,7.0,2.0,9.0,3.0,13.0,15.0,82.0
6,7,1,1,1,1,1,1,2.0,2.0,3.0,1.0,1.5,1.0,2.0,0.0,0.0,3.0,5.0,4.0,0.0,0.0,3.0,17.0,10.0,52.5
7,7,1,1,1,1,1,1,4.0,2.0,3.0,1.0,1.5,1.0,2.0,2.0,2.0,3.0,15.0,10.0,1.0,2.5,0.0,20.0,12.0,78.0
8,8,0,1,1,1,1,0,5.0,0.5,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5
9,9,1,0,1,1,1,1,6.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5
10,10,1,1,1,1,1,1,3.0,2.0,3.0,2.0,1.5,1.0,2.0,0.0,2.0,3.0,11.0,1.0,2.0,10.0,1.5,7.0,10.0,59.0
11,11,1,1,1,1,1,1,7.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,2.0,3.0,12.0,3.0,2.0,8.0,1.5,12.0,5.0,60.0
12,12,1,1,1,1,1,1,8.0,2.0,3.0,0.5,2.0,1.0,2.0,0.0,2.0,3.0,15.0,2.0,0.5,5.5,2.0,0.0,0.0,40.5
13,13,0,0,0,1,1,1,4.0,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,14.5,10.0,2.0,2.0,3.0,25.0,15.0,90.0
14,14,1,1,1,1,1,1,9.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,10.0,2.0,8.0,3.0,9.0,9.0,64.0
15,15,1,1,1,1,1,1,5.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,4.0,1.5,2.0,15.0,67.5
16,16,0,1,1,1,1,1,6.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,9.0,1.0,0.0,3.0,20.0,15.0,67.0
17,17,1,1,1,1,1,1,7.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,24.0,15.0,97.0
18,18,0,1,1,1,1,1,8.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,15.0,7.0,2.0,2.5,1.5,5.0,10.0,62.0
19,19,1,1,1,1,1,1,10.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,15.0,3.0,1.5,2.0,1.5,5.0,4.0,50.0
20,20,1,1,1,1,1,1,9.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,1.5,15.0,10.0,0.0,0.0,3.0,5.0,10.0,58.5
21,20,1,1,1,1,1,1,11.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,8.0,3.0,25.0,14.5,97.5
22,21,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,
23,22,1,1,0,1,1,0,12.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,1.5,10.0,10.0,40.0
24,23,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,
25,24,0,1,1,1,1,1,10.0,2.0,3.0,1.0,1.5,1.0,2.0,2.0,2.0,3.0,11.0,1.0,0.0,0.0,3.0,0.0,0.0,32.5
26,24,0,1,1,1,1,1,13.0,2.0,3.0,1.0,0.5,1.0,2.0,2.0,2.0,3.0,15.0,4.0,2.0,10.0,3.0,15.0,5.0,70.5
27,25,0,0,1,1,0,1,14.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,15.0,5.0,2.0,10.0,1.5,2.0,5.0,57.5
28,26,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
29,27,0,1,1,1,1,1,11.0,2.0,3.0,1.0,2.0,1.0,2.0,0.0,2.0,3.0,15.0,9.0,0.0,0.0,0.0,24.5,10.0,74.5
30,28,1,1,1,1,1,1,12.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,15.0,8.5,2.0,4.0,3.0,19.0,13.0,79.5
31,29,0,1,1,1,1,1,13.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,25.0,15.0,97.0
32,30,1,1,1,1,1,1,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0
33,30,1,1,1,1,1,1,15.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,12.0,8.0,1.0,5.0,1.5,4.0,5.0,55.5
34,31,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,
35,32,1,1,1,1,1,1,15.0,2.0,3.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,15.0,10.0,2.0,10.0,3.0,12.0,5.0,75.5
36,33,0,0,0,1,0,0,16.0,2.0,3.0,2.0,1.5,1.0,0.0,0.0,2.0,3.0,3.0,3.0,1.0,7.5,1.5,0.0,0.0,30.5
37,34,1,1,1,1,1,1,17.0,2.0,3.0,2.0,0.5,1.0,2.0,1.5,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
38,35,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,
39,36,1,1,1,1,1,1,16.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,13.0,9.0,2.0,10.0,3.0,16.0,13.0,79.0
40,37,1,0,0,1,1,1,17.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0
41,37,1,0,0,1,1,1,18.0,2.0,3.0,2.0,1.5,0.5,2.0,0.0,2.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,30.0
42,38,1,1,1,1,1,1,19.0,2.0,3.0,2.0,0.5,1.0,2.0,2.0,2.0,3.0,15.0,4.0,1.0,2.5,1.5,0.0,0.0,41.5
43,39,1,1,1,1,1,1,18.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,10.0,15.0,41.0
44,39,1,1,1,1,1,1,20.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,15.0,10.0,2.0,8.0,2.5,24.0,13.0,83.5
45,40,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,
46,41,0,1,1,1,1,1,19.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,13.0,10.0,2.0,10.0,3.0,25.0,15.0,98.0
47,42,1,1,1,1,1,1,21.0,2.0,3.0,1.0,0.5,1.0,2.0,0.0,2.0,3.0,4.0,2.0,0.5,0.0,1.5,0.0,0.0,22.5
48,43,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,
