student_id,session,points
1,1,5.0
1,2,1.5
1,3,10.0
1,4,25.0
1,5,15.0
1,6,38.0
2,1,5.0
2,2,2.5
2,3,8.0
2,4,17.0
2,5,6.5
2,6,5.0
3,1,5.0
3,2,3.0
3,3,10.0
3,4,25.0
3,5,9.0
3,6,33.0
4,1,5.0
4,2,1.5
4,3,5.0
4,4,7.0
4,5,1.5
4,6,10.0
5,1,5.0
5,2,3.5
5,3,10.0
5,4,5.0
5,5,12.0
5,6,3.0
6,1,5.0
6,2,5.0
6,3,8.0
6,4,22.0
6,5,14.0
6,6,28.0
7,1,10.0
7,2,5.0
7,3,16.0
7,4,34.0
7,5,6.5
7,6,59.0
8,1,3.5
8,2,0.0
8,3,5.0
8,4,0.0
8,5,0.0
8,6,0.0
9,1,5.0
9,2,1.5
9,3,10.0
9,4,2.0
9,5,0.0
9,6,0.0
10,1,5.0
10,2,3.5
10,3,8.0
10,4,12.0
10,5,13.5
10,6,17.0
11,1,5.0
11,2,1.5
11,3,10.0
11,4,15.0
11,5,11.5
11,6,17.0
12,1,5.0
12,2,2.5
12,3,8.0
12,4,17.0
12,5,8.0
12,6,0.0
13,1,5.0
13,2,3.5
13,3,10.0
13,4,24.5
13,5,7.0
13,6,40.0
14,1,5.0
14,2,5.0
14,3,10.0
14,4,13.0
14,5,13.0
14,6,18.0
15,1,5.0
15,2,3.0
15,3,10.0
15,4,25.0
15,5,7.5
15,6,17.0
16,1,5.0
16,2,1.0
16,3,10.0
16,4,12.0
16,5,4.0
16,6,35.0
17,1,5.0
17,2,3.0
17,3,10.0
17,4,25.0
17,5,15.0
17,6,39.0
18,1,4.0
18,2,5.0
18,3,10.0
18,4,22.0
18,5,6.0
18,6,15.0
19,1,5.0
19,2,3.0
19,3,10.0
19,4,18.0
19,5,5.0
19,6,9.0
20,1,10.0
20,2,7.0
20,3,18.5
20,4,50.0
20,5,16.0
20,6,54.5
22,1,5.0
22,2,1.5
22,3,8.0
22,4,4.0
22,5,1.5
22,6,20.0
24,1,10.0
24,2,4.0
24,3,20.0
24,4,31.0
24,5,18.0
24,6,20.0
25,1,5.0
25,2,2.0
25,3,10.0
25,4,20.0
25,5,13.5
25,6,7.0
27,1,5.0
27,2,3.0
27,3,8.0
27,4,24.0
27,5,0.0
27,6,34.5
28,1,5.0
28,2,3.0
28,3,7.0
28,4,23.5
28,5,9.0
28,6,32.0
29,1,5.0
29,2,2.0
29,3,10.0
29,4,25.0
29,5,15.0
29,6,40.0
30,1,5.0
30,2,6.0
30,3,10.0
30,4,25.0
30,5,7.5
30,6,9.0
32,1,5.0
32,2,3.5
32,3,10.0
32,4,25.0
32,5,15.0
32,6,17.0
33,1,5.0
33,2,3.5
33,3,6.0
33,4,6.0
33,5,10.0
33,6,0.0
34,1,5.0
34,2,2.5
34,3,6.5
34,4,4.0
34,5,0.0
34,6,0.0
36,1,5.0
36,2,1.0
36,3,7.0
36,4,22.0
36,5,15.0
36,6,29.0
37,1,10.0
37,2,4.5
37,3,8.5
37,4,26.0
37,5,0.0
37,6,0.0
38,1,5.0
38,2,2.5
38,3,10.0
38,4,19.0
38,5,5.0
38,6,0.0
39,1,10.0
39,2,3.0
39,3,5.0
39,4,32.0
39,5,12.5
39,6,62.0
41,1,5.0
41,2,5.0
41,3,10.0
41,4,23.0
41,5,15.0
41,6,40.0
42,1,5.0
42,2,1.5
42,3,8.0
42,4,6.0
42,5,2.0
42,6,0.0
44,1,10.0
44,2,8.0
44,3,20.0
44,4,35.0
44,5,23.0
44,6,51.5
45,1,5.0
45,2,3.0
45,3,10.0
45,4,18.0
45,5,10.0
45,6,0.0
46,1,10.0
46,2,2.0
46,3,6.0
46,4,11.0
46,5,0.0
46,6,5.0
47,1,5.0
47,2,2.5
47,3,8.0
47,4,9.0
47,5,3.5
47,6,0.0
48,1,5.0
48,2,5.0
48,3,10.0
48,4,22.0
48,5,4.5
48,6,25.0
49,1,5.0
49,2,2.5
49,3,5.0
49,4,6.0
49,5,6.0
49,6,6.0
51,1,6.0
